date,margin_purchase_money
2024-12-18,322704819000.0
2024-12-19,323617443000.0
2024-12-20,324670318000.0
2024-12-23,323358374000.0
2024-12-24,323230685000.0
2024-12-25,324809147000.0
2024-12-26,326328530000.0
2024-12-27,325477253000.0
2024-12-30,326441023000.0
2024-12-31,327558296000.0
2025-01-02,329543807000.0
2025-01-03,327869937000.0
2025-01-06,329747315000.0
2025-01-07,329173490000.0
2025-01-08,330129522000.0
2025-01-09,325643838000.0
2025-01-10,323066309000.0
2025-01-13,315535016000.0
2025-01-14,314958672000.0
2025-01-15,314732916000.0
2025-01-16,312466298000.0
2025-01-17,309772573000.0
2025-01-20,309018640000.0
2025-01-21,307774487000.0
2025-01-22,305287551000.0
2025-02-03,305187136000.0
2025-02-04,305710074000.0
2025-02-05,305601281000.0
2025-02-06,305934753000.0
2025-02-07,306034473000.0
2025-02-10,308721920000.0
2025-02-11,309154193000.0
2025-02-12,311523857000.0
2025-02-13,313023678000.0
2025-02-14,313574044000.0
2025-02-17,314922889000.0
2025-02-18,316399005000.0
2025-02-19,319292844000.0
2025-02-20,321311666000.0
2025-02-21,321783865000.0
2025-02-24,323434570000.0
2025-02-25,324483022000.0
2025-02-26,325413294000.0
2025-02-27,324284623000.0
2025-03-03,324050396000.0
2025-03-04,326111501000.0
2025-03-05,328033352000.0
2025-03-06,328609499000.0
2025-03-07,327851463000.0
2025-03-10,327246302000.0
2025-03-11,325806691000.0
2025-03-12,327694493000.0
2025-03-13,326414588000.0
2025-03-14,325694534000.0
2025-03-17,325360733000.0
2025-03-18,324691148000.0
2025-03-19,324290100000.0
2025-03-20,324238426000.0
2025-03-21,324119474000.0
2025-03-24,323759132000.0
2025-03-25,322275801000.0
2025-03-26,321865442000.0
2025-03-27,321121581000.0
2025-03-28,316022604000.0
2025-03-31,300314124000.0
2025-04-01,298958157000.0
2025-04-02,298816651000.0
2025-04-07,285252992000.0
2025-04-08,256789020000.0
2025-04-09,223785029000.0
2025-04-10,222431725000.0
2025-04-11,213955822000.0
2025-04-14,212803927000.0
2025-04-15,213994817000.0
2025-04-16,214549780000.0
2025-04-17,216020028000.0
2025-04-18,215979291000.0
2025-04-21,212486669000.0
2025-04-22,210932049000.0
2025-04-23,210393071000.0
2025-04-24,210093888000.0
2025-04-25,208844606000.0
2025-04-28,208154193000.0
2025-04-29,209008974000.0
2025-04-30,209669672000.0
2025-05-02,209351182000.0
2025-05-05,208867379000.0
2025-05-06,209482846000.0
2025-05-07,209439756000.0
2025-05-08,209567416000.0
2025-05-09,209817781000.0
2025-05-12,210111994000.0
2025-05-13,210508471000.0
2025-05-14,212011750000.0
2025-05-15,213312394000.0
2025-05-16,216410527000.0
2025-05-19,216535926000.0
2025-05-20,217435458000.0
2025-05-21,217856446000.0
2025-05-22,220045068000.0
2025-05-23,219546355000.0
2025-05-26,220657750000.0
2025-05-27,220599614000.0
2025-05-28,220246367000.0
2025-05-29,221181413000.0
2025-06-02,221528741000.0
2025-06-03,221857705000.0
2025-06-04,222950998000.0
2025-06-05,222431847000.0
2025-06-06,222353111000.0
2025-06-09,222414142000.0
2025-06-10,220627683000.0
2025-06-11,222185864000.0
2025-06-12,223680596000.0
2025-06-13,223309479000.0
2025-06-16,224418003000.0
2025-06-17,224287636000.0
2025-06-18,224753502000.0
2025-06-19,225036136000.0
2025-06-20,224123342000.0
2025-06-23,224437558000.0
2025-06-24,224318492000.0
2025-06-25,224189539000.0
2025-06-26,224719022000.0
2025-06-27,225228402000.0
2025-06-30,226292649000.0
2025-07-01,225161417000.0
2025-07-02,225315996000.0
2025-07-03,225841159000.0
2025-07-04,223751212000.0
2025-07-07,221554232000.0
2025-07-08,222090108000.0
2025-07-09,222618366000.0
2025-07-10,224196382000.0
2025-07-11,224058848000.0
2025-07-14,224437905000.0
2025-07-15,226722755000.0
2025-07-16,226872563000.0
2025-07-17,227981188000.0
2025-07-18,228111365000.0
2025-07-21,229477188000.0
2025-07-22,224554075000.0
2025-07-23,227983846000.0
2025-07-24,229227323000.0
2025-07-25,229580905000.0
2025-07-28,230048512000.0
2025-07-29,229520930000.0
2025-07-30,229782020000.0
2025-07-31,231315484000.0
2025-08-01,232588286000.0
2025-08-04,233410481000.0
2025-08-05,235386924000.0
2025-08-06,236036183000.0
2025-08-07,237514928000.0
2025-08-08,238613969000.0
2025-08-11,242509549000.0
2025-08-12,243266443000.0
2025-08-13,242383930000.0
2025-08-14,245037336000.0
2025-08-15,248323607000.0
2025-08-18,249893217000.0
2025-08-19,250196431000.0
2025-08-20,248938691000.0
2025-08-21,251706436000.0
2025-08-22,251544566000.0
2025-08-25,253933965000.0
2025-08-26,255260819000.0
2025-08-27,258305814000.0
2025-08-28,260232173000.0
2025-08-29,262327206000.0
2025-09-01,259146921000.0
2025-09-02,259012511000.0
2025-09-03,261032905000.0
2025-09-04,261541660000.0
2025-09-05,264481986000.0
2025-09-08,266510445000.0
2025-09-09,267537039000.0
2025-09-10,269963070000.0
2025-09-11,265854797000.0
2025-09-12,265614897000.0
2025-09-15,264210665000.0
2025-09-16,265856690000.0
2025-09-17,264869230000.0
2025-09-18,266808583000.0
2025-09-19,268834779000.0
2025-09-22,272458389000.0
2025-09-23,272801313000.0
2025-09-24,274650726000.0
2025-09-25,275265205000.0
2025-09-26,271547451000.0
2025-09-30,275429759000.0
2025-10-01,276237290000.0
2025-10-02,278985046000.0
2025-10-03,281879929000.0
2025-10-07,283226480000.0
2025-10-08,283589136000.0
2025-10-09,285612707000.0
2025-10-13,283166811000.0
2025-10-14,275345144000.0
2025-10-15,280251490000.0
2025-10-16,285280494000.0
2025-10-17,285198688000.0
2025-10-20,289524473000.0
2025-10-21,290984087000.0
2025-10-22,292885334000.0
2025-10-23,292588808000.0
2025-10-27,295984232000.0
2025-10-28,296373285000.0
2025-10-29,300589167000.0
2025-10-30,298392447000.0
2025-10-31,301750958000.0
2025-11-03,304336086000.0
2025-11-04,300318118000.0
2025-11-05,302885861000.0
2025-11-06,307908099000.0
2025-11-07,307760690000.0
2025-11-10,310128798000.0
2025-11-11,309815189000.0
2025-11-12,312952699000.0
2025-11-13,313950396000.0
2025-11-14,311008013000.0
2025-11-17,311090494000.0
2025-11-18,306328571000.0
2025-11-19,306204612000.0
2025-11-20,309665154000.0
2025-11-21,303707617000.0
2025-11-24,306380271000.0
2025-11-25,311368884000.0
2025-11-26,311060645000.0
2025-11-27,314005988000.0
2025-11-28,317182219000.0
2025-12-01,319360271000.0
2025-12-02,319737013000.0
2025-12-03,321425021000.0
2025-12-04,322826443000.0
2025-12-05,322916644000.0
2025-12-08,324739391000.0
2025-12-09,326884262000.0
2025-12-10,327694562000.0
2025-12-11,326671838000.0
2025-12-12,329349582000.0
2025-12-15,331859338000.0
2025-12-16,328789479000.0
2025-12-17,332174898000.0
2025-12-18,332380151000.0
2025-12-19,333308741000.0
